1,1,116,0.001
2,1,203,0.001
3,1,306,0.001
4,1,456,0.001
5,1,499,0.001
6,1,616,0.001
7,1,776,0.001
8,1,906,0.001
9,1,946,0.001
10,1,957,0.001
11,1,962,0.001
12,1,1059,0.001
13,1,1199,0.001
14,1,1222,0.001
15,1,1299,0.001
16,1,1363,0.001
17,1,1405,0.001
18,1,1507,0.001
19,1,1553,0.001
20,1,1566,0.001
21,1,1613,0.001
22,1,1616,0.001
23,1,1618,0.001
24,1,1670,0.001
25,1,1719,0.001
26,1,1774,0.001
27,1,1942,0.001
28,1,2047,0.001
29,1,2052,0.001
30,1,2063,0.001
31,1,2240,0.001
32,1,2305,0.001
33,1,2550,0.001
34,1,2616,0.001
35,1,2654,0.001
36,1,3005,0.001
37,1,3138,0.001
38,1,3278,0.001
39,1,3381,0.001
40,1,3424,0.001
41,1,3425,0.001
42,1,3461,0.001
43,1,3534,0.001
44,1,3587,0.001
45,1,3728,0.001
46,1,3750,0.001
47,1,4095,0.001
48,1,4156,0.001
49,1,4362,0.001
50,1,4683,0.001
51,1,4700,0.001
52,1,5041,0.001
53,1,5096,0.001
54,1,5228,0.001
55,1,5249,0.001
56,1,5357,0.001
57,1,5398,0.001
58,1,5492,0.001
59,1,5619,0.001
60,1,5653,0.001
61,1,6106,0.001
62,1,6133,0.001
63,1,6144,0.001
64,1,6270,0.001
65,1,6298,0.001
66,1,6349,0.001
67,1,6362,0.001
68,1,6390,0.001
69,1,6394,0.001
70,1,6458,0.001
71,1,6655,0.001
72,1,6673,0.001
73,1,6679,0.001
74,1,6911,0.001
75,1,7178,0.001
76,1,7295,0.001
77,1,7550,0.001
78,1,8268,0.001
79,1,8321,0.001
80,1,8331,0.001
81,1,8378,0.001
82,1,8500,0.001
83,1,8572,0.001
84,1,8593,0.001
85,1,8627,0.001
86,1,8752,0.001
87,1,8833,0.001
88,1,8888,0.001
89,1,8986,0.001
90,1,9201,0.001
91,1,9430,0.001
92,1,9446,0.001
93,1,9468,0.001
94,1,9491,0.001
95,1,9513,0.001
96,1,9519,0.001
97,1,9528,0.001
98,1,9554,0.001
99,1,9646,0.001
100,1,9998,0.001
